Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,4393.649999999999,52723.80,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),ALB and NLB in Virginia,Application Load Balancer,0,22.27,267.24,USD,,Number of Application Load Balancers (1)
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),ALB and NLB in Virginia,Network Load Balancer,0,20.81,249.72,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (730 GB per month), Average number of new TCP connections (20 per second), Average TCP connection duration (120 seconds), Processed bytes per NLB for UDP (0 GB per hour), Average number of new UDP Flows (0 per second), Average UDP Flow duration (0 seconds), Processed bytes per NLB for TLS (0 GB per hour), Average number of new TLS connections (0 per second), Average TLS connection duration (0 seconds)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),GuardDuty in Virginia,Amazon GuardDuty,0,831.5,9978.00,USD,,"EC2 VPC Flow Log Analysis (500 GB per month), EC2 DNS Query Log Analysis (500 GB per month), EBS Volume Data Scan Analysis (50 GB per month), AWS CloudTrail Management Event Analysis (20 million per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Security Hub in Virginia,AWS Security Hub,0,101.2,1214.40,USD,,"Number of Accounts (1), Number of Security Checks per Account (100000), Number of Finding Ingested per Account (50000)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Config in Virginia,AWS Config,0,25,300.00,USD,,"Number of Continuous Configuration items recorded (5000), Number of Config rule evaluations (10000)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Macie in Virginia,Amazon Macie,0,0.5099,6.12,USD,,"The percentage of your objects which are compressed (such as .gz, or .tar)?  (0), Compression Ratio (3x), Number of S3 buckets (5), Total bytes in S3 storage (200 GB), Number of objects monitored for automated data discovery (100000)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Backup in Virginia,S3 Backup,0,17.62,211.44,USD,,"Estimated annual increase in primary data (%) (0.1), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (200 GB), Daily backups warm retention period (180 Days)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Backup in Virginia,EBS Backup,0,90.23,1082.76,USD,,"Estimated annual increase in primary data (%) (0.15), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1000 GB), Daily backups warm retention period (180 Days)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),CloudWatch in Virginia,Amazon CloudWatch,0,75.45,905.40,USD,,"Number of mobile OTEL events and spans or spans per visit (70), Mobile sampling rate (1), Number of Dashboards (6), Number of Metrics (includes detailed and custom metrics) (30), GetMetricData: Number of metrics requested (500000), Number of other API requests (100000), Number of Standard Resolution Alarm Metrics (10), Standard Logs: Data Ingested (100 GB)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Network Firewall in Virginia,AWS Network Firewall,0,613.35,7360.20,USD,,"Number of AWS Network Firewall endpoints (1), Monthly usage per endpoint (730 hours), Data processed per month (5000 GB)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Lambda in Virginia,AWS Lambda,0,0,0.00,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Number of requests (1 million per month), Amount of ephemeral storage allocated (512 MB)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),S3 in Virginia,S3 Standard,0,15.2,182.40,USD,,"S3 Standard storage (650 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (50000), GET, SELECT, and all other requests from S3 Standard (10000)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),S3 in Virginia,Data Transfer,0,4,48.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: All other regions (200 GB per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Replication Server for MGN from OnPrem to Virginia,Amazon EC2 ,0,39.184,470.21,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.medium), Pricing strategy (On-Demand Utilization: 365 Hours/Month), Enable monitoring (disabled), EBS Storage amount (600 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),CloudTrail in Virginia,AWS CloudTrail,0,10,120.00,USD,,"Management events units (millions), Read management trails (1), Data events units (millions), S3 trails (1), Lambda trails (1), Network activity events units (millions), Network activity event trails (1), Insight events units (millions), Number of trails and/or event data stores where Insights events are enabled (1), Number of management events (50 per month), Read management events ( per month), S3 operations (5 per month), Lambda data events (5 per month), Number of network activity events (2 per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Application Discovery Service Metadata Repository,S3 Standard,0,0.12,1.44,USD,,S3 Standard storage (5 GB per month)
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),Application Discovery Service Metadata Repository,Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),"EventBridge, purely used for triggers for lambda in Virginia",Amazon EventBridge,0,0,0.00,USD,,"Size of the payload (1 KB), Number of custom events (0 million per month), Number of invocations ( per month), Number of invocations (5000 per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),,Standard topics,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), Requests (1000 per month), EMAIL/EMAIL-JSON Notifications (1000 per month)"
GBG-Sizing > N. Virginia Pricing Group,US East (N. Virginia),ACM in Virginia,AWS Certificate Manager,0,0,0.00,USD,,Number of API calls (10000 per month)
GBG-Sizing > Global Services,US East (N. Virginia),Route 53 ,Amazon Route 53,0,187,2244.00,USD,,"Hosted Zones (1), Additional Records in Hosted Zones (0), IP (CIDR) blocks (2), Basic Checks Within AWS (1), Number of Elastic Network Interfaces (2)"
GBG-Sizing > Global Services,US East (N. Virginia),CloudFront PAYG,Amazon CloudFront,0,321.96,3863.52,USD,,"Data transfer out to internet (600 GB per month), Data transfer out to origin (60 GB per month), Number of requests (HTTPS) (20 million per month), Data transfer out to internet (1376 GB per month), Data transfer out to origin (240 GB per month), Number of requests (HTTPS) (70 million per month), Number of requests (HTTPS) ( million per month)"
GBG-Sizing > Global Services,US East (N. Virginia),WAF,AWS Web Application Firewall (WAF),0,86,1032.00,USD,,"Number of Web Access Control Lists (Web ACLs) utilized (1 per month), Number of Rules added per Web ACL (3 per month), Number of Managed Rule Groups per Web ACL (0 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
